[00:05:08] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-466, y=59, z=-184} iw{x=-465, y=57, z=-183}
[00:05:10] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-465, y=53, z=-183} iw{x=-465, y=55, z=-183}
[00:05:10] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-465, y=53, z=-183} iw{x=-465, y=55, z=-183}
[00:05:12] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-465, y=50, z=-183} iw{x=-465, y=49, z=-183}
[00:05:12] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-465, y=50, z=-183} iw{x=-465, y=49, z=-183}
[00:05:12] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-465, y=50, z=-183} iw{x=-465, y=49, z=-183}
[00:05:15] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-465, y=44, z=-183} iw{x=-465, y=43, z=-183}
[00:05:15] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-465, y=44, z=-183} iw{x=-465, y=43, z=-183}
[00:05:19] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-466, y=38, z=-184} iw{x=-465, y=36, z=-183}
[00:05:19] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-466, y=38, z=-184} iw{x=-465, y=36, z=-183}
[00:06:25] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-469, y=52, z=-187} iw{x=-469, y=51, z=-187}
[00:06:25] [Server thread/WARN]: Mismatch in destroy block pos: iw{x=-469, y=52, z=-187} iw{x=-469, y=51, z=-187}
